product_id,tn
20001,1318.0956272522155
20002,1046.7534807530517
20003,710.183097202705
20004,521.1680741855114
20005,527.199324365881
20006,444.70835841673534
20007,398.03662817589105
20008,385.6122965087491
20009,506.1027461229139
20010,386.3536643860418
20011,404.45893816030923
20012,306.5652936748832
20013,389.02678910943115
20014,371.80047882660676
20015,362.2863123788819
20016,280.7447495080074
20017,269.79427823969354
20018,258.0174354612009
20019,299.26087996121475
20020,289.8981321149697
20021,235.69764958776864
20022,276.23580513015554
20023,227.07172127304617
20024,218.33713307557923
20025,225.77881336652388
20026,230.93547598511265
20027,226.55747054432754
20028,203.92686538539033
20029,185.4890013554755
20030,139.9243048070079
20031,178.43671564465444
20033,139.25102833631757
20035,166.3654565292152
20037,121.01400678427449
20038,180.32157789545715
20039,150.09365096538608
20041,130.77278638018538
20042,163.41084292141534
20043,123.23697687457778
20044,155.91102853986408
20045,144.77259585432554
20046,145.36938357149603
20047,157.46317001665793
20050,129.32577495965893
20051,126.29549777591771
20052,116.66549057289673
20053,149.04724185826237
20054,137.42235325518126
20055,98.51557782703216
20056,98.15754606927548
20057,136.06582018251382
20058,122.42662947001563
20059,137.90547180247262
20061,132.05669867516332
20062,102.44503867682177
20063,128.94593534497437
20065,124.77897370104937
20066,124.39407608022245
20067,113.88456568230293
20068,113.94967071281062
20069,139.97935550564574
20070,109.44586257015712
20071,122.28334083615306
20072,94.24337662628778
20073,109.17817037579336
20074,91.40668324848014
20075,125.92574667144476
20076,97.35811793601798
20077,89.11343051059146
20079,58.933523591372094
20080,89.36268636223879
20081,95.2308410859057
20082,78.87955903110142
20084,109.14189417513643
20086,63.055961134324235
20087,78.86042015937919
20090,66.7748784905088
20091,105.80862918937821
20092,67.04236977825036
20093,82.83487851610545
20094,96.62213220639822
20095,67.78235792598109
20096,71.16812540281026
20097,70.7758128403441
20099,71.40219248677772
20100,61.19168518208928
20101,78.45754565457088
20102,44.236803636979985
20103,80.8335955913734
20106,73.58547201620851
20107,75.19583225567285
20108,63.60921180940531
20109,65.46670935380362
20111,82.5203854012156
20114,65.40972521896835
20116,93.18153321292733
20117,50.59504056286085
20118,59.89610097133627
20119,56.628221382509054
20120,68.26707091588094
20121,80.2030080184479
20122,70.29150392345085
20123,65.0878557013771
20124,56.49417448885134
20125,67.08809019468224
20129,68.0052134752311
20132,61.34481576862222
20133,60.44639296350651
20134,65.01050917874615
20137,55.8022417840265
20138,41.60204435986425
20139,61.13278877068386
20140,61.62024795166623
20142,54.06385471470594
20144,54.62933493907332
20145,57.98191253752005
20146,40.143608316450226
20148,64.83425441325727
20151,47.677773762227844
20152,43.181155165123776
20153,52.94098555033814
20155,52.748268914183605
20157,55.56336097624103
20158,55.71523883406972
20160,55.01777796402907
20161,53.9038684924639
20162,43.60418913403201
20166,47.568708233983635
20167,43.95822973714649
20168,26.657763761094046
20175,37.038935020326115
20176,37.14320328442048
20177,39.14361159093593
20179,35.4433680453561
20180,37.56871088101364
20181,39.40819152513145
20182,36.5801282998043
20183,26.796506033947846
20184,37.69550723639322
20187,35.37324092272101
20188,32.81115576474553
20189,37.396003711875636
20192,39.19707632763255
20193,35.912537649505566
20196,36.06588077748408
20197,33.37077049065724
20198,36.72093152740746
20200,35.060280917051585
